date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:06	15343/15343	---M--	200	added ('OK')	image/png	etag:%220f6ebd4069c1db671ed92a8b23d44f86%22	https://www.virid.com/hs-fs/hubfs/Imported_Blog_Media/Shippo-2.png?width=793&height=238&name=Shippo-2.png	C:/My%20Web%20Sites/virid/www.virid.com/hs-fs/hubfs/Imported_Blog_Media/Shippo-228d6.png	(from https://www.virid.com/blog/general/3-things-you-need-to-know-about-the-2019-usps-rate-changes)
23:45:07	34511/34511	---M--	200	added ('OK')	image/png	etag:%22884c91a5313fa6c0c3c21373a2b20da1%22	https://www.virid.com/hs-fs/hubfs/Imported_Blog_Media/Shippo-1.png?width=760&height=426&name=Shippo-1.png	C:/My%20Web%20Sites/virid/www.virid.com/hs-fs/hubfs/Imported_Blog_Media/Shippo-1ca58.png	(from https://www.virid.com/blog/general/3-things-you-need-to-know-about-the-2019-usps-rate-changes)
23:45:08	10572/10572	---M--	200	added ('OK')	image/png	etag:%2206ada8c2c997000ba12d4649a8af470c%22	https://www.virid.com/hs-fs/hubfs/Imported_Blog_Media/Shippo-3.png?width=785&height=156&name=Shippo-3.png	C:/My%20Web%20Sites/virid/www.virid.com/hs-fs/hubfs/Imported_Blog_Media/Shippo-347ec.png	(from https://www.virid.com/blog/general/3-things-you-need-to-know-about-the-2019-usps-rate-changes)
23:45:08	36368/36368	---M--	200	added ('OK')	image/png	etag:%22bb42a8f6756b506823bcbfe366d43118%22	https://www.virid.com/hs-fs/hubfs/Imported_Blog_Media/Shippo-4.png?width=760&height=425&name=Shippo-4.png	C:/My%20Web%20Sites/virid/www.virid.com/hs-fs/hubfs/Imported_Blog_Media/Shippo-48869.png	(from https://www.virid.com/blog/general/3-things-you-need-to-know-about-the-2019-usps-rate-changes)
23:45:09	36070/36070	---M--	200	added ('OK')	image/png	etag:%22ea276f938a771ca0201ec0377cff6f24%22	https://www.virid.com/hs-fs/hubfs/Imported_Blog_Media/Shippo-5.png?width=758&height=424&name=Shippo-5.png	C:/My%20Web%20Sites/virid/www.virid.com/hs-fs/hubfs/Imported_Blog_Media/Shippo-584db.png	(from https://www.virid.com/blog/general/3-things-you-need-to-know-about-the-2019-usps-rate-changes)
23:45:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2007%20Sep%202021%2015:45:12%20GMT	https://www.virid.com/blog/topic/shipping	C:/My%20Web%20Sites/virid/www.virid.com/blog/topic/shipping	(from https://www.virid.com/blog/general/3-things-you-need-to-know-about-the-2019-usps-rate-changes)
23:45:14	31631/31631	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2015:45:15%20GMT	https://www.virid.com/blog/tag/shipping	C:/My%20Web%20Sites/virid/www.virid.com/blog/tag/shipping.html	(from https://www.virid.com/blog/general/3-things-you-need-to-know-about-the-2019-usps-rate-changes)
23:45:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2007%20Sep%202021%2015:45:17%20GMT	https://www.virid.com/blog/topic/usps	C:/My%20Web%20Sites/virid/www.virid.com/blog/topic/usps	(from https://www.virid.com/blog/general/3-things-you-need-to-know-about-the-2019-usps-rate-changes)
23:45:20	31603/31603	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2015:45:20%20GMT	https://www.virid.com/blog/tag/usps	C:/My%20Web%20Sites/virid/www.virid.com/blog/tag/usps.html	(from https://www.virid.com/blog/general/3-things-you-need-to-know-about-the-2019-usps-rate-changes)
23:45:22	13150/13150	---MCZ	200	added ('OK')	text/html	etag:W/%22b82b02a92e0c0ba29d8a8dc1c3043cf1%22	https://www.virid.com/blog/general/ecommerce-site-metrics-you-should-be-tracking?hs_amp=true	C:/My%20Web%20Sites/virid/www.virid.com/blog/general/ecommerce-site-metrics-you-should-be-tracking3d9f.html	(from https://www.virid.com/blog/general/ecommerce-site-metrics-you-should-be-tracking)
23:45:24	13503/13503	---MCZ	200	added ('OK')	text/html	etag:W/%22bcc0daa7b0b2f46f72817df06d4e2a64%22	https://www.virid.com/blog/general/4-commonly-missed-personalization-opportunities-that-fuel-conversion?hs_amp=true	C:/My%20Web%20Sites/virid/www.virid.com/blog/general/4-commonly-missed-personalization-opportunities-that-fuel-conversion3d9f.html	(from https://www.virid.com/blog/general/4-commonly-missed-personalization-opportunities-that-fuel-conversion)
23:45:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2007%20Sep%202021%2015:45:27%20GMT	https://www.virid.com/blog/topic/partner-4-tell	C:/My%20Web%20Sites/virid/www.virid.com/blog/topic/partner-4-tell	(from https://www.virid.com/blog/general/4-commonly-missed-personalization-opportunities-that-fuel-conversion)
